                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
64,1.5166,3.2924,0.98763,0.47308,0.37987,0.38362,0.21551,1.3496,2.9221,0.94327,0.0025322,0.0025322,0.0025322
65,1.5126,3.2904,0.98912,0.47271,0.38921,0.38296,0.21112,1.3844,2.9157,0.94668,0.0025248,0.0025248,0.0025248
66,1.5038,3.2691,0.98877,0.46729,0.37874,0.37456,0.21055,1.347,2.9151,0.94145,0.0025174,0.0025174,0.0025174
67,1.5092,3.2876,0.9888,0.48516,0.37873,0.38144,0.21594,1.3349,2.9111,0.94028,0.0025099,0.0025099,0.0025099
68,1.4997,3.2633,0.98963,0.47305,0.38489,0.38162,0.21543,1.3437,2.9106,0.94068,0.0025025,0.0025025,0.0025025
69,1.5018,3.2561,0.98991,0.47341,0.38547,0.38312,0.21562,1.3444,2.9001,0.93945,0.0024951,0.0024951,0.0024951
70,1.4874,3.2106,0.98813,0.4851,0.3834,0.38838,0.2192,1.3391,2.8698,0.93923,0.0024877,0.0024877,0.0024877
71,1.4962,3.2416,0.98608,0.48451,0.38426,0.38153,0.2151,1.3413,2.8925,0.94039,0.0024802,0.0024802,0.0024802
72,1.4969,3.2368,0.98243,0.4952,0.38089,0.38737,0.21677,1.3377,2.8607,0.9382,0.0024728,0.0024728,0.0024728
73,1.4981,3.2273,0.98428,0.48569,0.38296,0.38585,0.21794,1.3276,2.8721,0.93679,0.0024654,0.0024654,0.0024654
74,1.4963,3.2277,0.9831,0.49584,0.38487,0.3878,0.21946,1.3256,2.8639,0.9366,0.002458,0.002458,0.002458
75,1.4975,3.2187,0.98138,0.49555,0.37998,0.38789,0.22097,1.3181,2.861,0.93432,0.0024506,0.0024506,0.0024506
76,1.497,3.2188,0.98215,0.4915,0.37888,0.38581,0.21878,1.325,2.857,0.93583,0.0024431,0.0024431,0.0024431
77,1.5053,3.2225,0.98392,0.49581,0.38447,0.38834,0.22112,1.3214,2.8393,0.93533,0.0024357,0.0024357,0.0024357
78,1.4966,3.2105,0.97959,0.50877,0.37976,0.39248,0.22302,1.3219,2.8416,0.93472,0.0024283,0.0024283,0.0024283
79,1.4866,3.2039,0.98229,0.49155,0.38556,0.38907,0.22116,1.3265,2.8542,0.93516,0.0024208,0.0024208,0.0024208
80,1.49,3.1914,0.97762,0.48671,0.39135,0.3931,0.22372,1.3256,2.8419,0.93505,0.0024134,0.0024134,0.0024134
81,1.495,3.2239,0.98053,0.49486,0.38248,0.38656,0.21826,1.3298,2.8734,0.93628,0.002406,0.002406,0.002406
82,1.4955,3.2288,0.98281,0.50036,0.38491,0.38945,0.22196,1.3231,2.8646,0.93563,0.0023986,0.0023986,0.0023986
83,1.4962,3.1861,0.98029,0.49261,0.37792,0.38234,0.2167,1.3219,2.8717,0.93546,0.0023912,0.0023912,0.0023912
84,1.4956,3.1921,0.97433,0.51086,0.37849,0.38755,0.22104,1.3054,2.8429,0.93247,0.0023837,0.0023837,0.0023837
85,1.4895,3.1877,0.97768,0.48472,0.38626,0.38899,0.223,1.3018,2.8463,0.93116,0.0023763,0.0023763,0.0023763
86,1.4881,3.1704,0.98198,0.50067,0.38844,0.39533,0.22443,1.3078,2.8258,0.93113,0.0023689,0.0023689,0.0023689
87,1.4698,3.1412,0.9767,0.49464,0.38329,0.39049,0.22211,1.3139,2.836,0.93156,0.0023615,0.0023615,0.0023615
88,1.4813,3.1664,0.97591,0.48946,0.38706,0.39074,0.22327,1.3081,2.8372,0.9312,0.002354,0.002354,0.002354
89,1.4888,3.1924,0.97672,0.49088,0.38912,0.39142,0.2235,1.3171,2.8277,0.93193,0.0023466,0.0023466,0.0023466
90,1.4893,3.1793,0.97519,0.48875,0.38736,0.38981,0.22054,1.3313,2.8445,0.93406,0.0023392,0.0023392,0.0023392
91,1.4892,3.1693,0.9759,0.50624,0.38586,0.39323,0.22287,1.3351,2.8319,0.93468,0.0023318,0.0023318,0.0023318
92,1.4808,3.1454,0.97808,0.49962,0.38896,0.39237,0.22296,1.3255,2.8262,0.93367,0.0023243,0.0023243,0.0023243
93,1.4694,3.1165,0.98072,0.49561,0.38745,0.39225,0.22341,1.3132,2.8253,0.93119,0.0023169,0.0023169,0.0023169
94,1.4781,3.1278,0.97753,0.50181,0.38925,0.39471,0.22528,1.3164,2.8218,0.93102,0.0023095,0.0023095,0.0023095
95,1.4868,3.1505,0.97788,0.50243,0.39078,0.39644,0.2258,1.3186,2.814,0.93068,0.002302,0.002302,0.002302
96,1.4794,3.1223,0.97262,0.48923,0.39523,0.39721,0.22643,1.312,2.8106,0.93018,0.0022946,0.0022946,0.0022946
97,1.4867,3.1418,0.97954,0.4898,0.39575,0.39634,0.22577,1.3138,2.8182,0.93128,0.0022872,0.0022872,0.0022872
98,1.4688,3.1128,0.97285,0.49682,0.39442,0.39463,0.22468,1.3158,2.82,0.93145,0.0022798,0.0022798,0.0022798
99,1.4709,3.0991,0.9735,0.50059,0.38944,0.39462,0.22535,1.3174,2.8171,0.93114,0.0022723,0.0022723,0.0022723
100,1.4646,3.1088,0.97376,0.50084,0.39075,0.39449,0.22608,1.3148,2.8108,0.93037,0.0022649,0.0022649,0.0022649
101,1.461,3.1103,0.97757,0.49451,0.39573,0.39669,0.22683,1.3121,2.8172,0.92986,0.0022575,0.0022575,0.0022575
102,1.4662,3.1033,0.9695,0.49878,0.3933,0.39815,0.22796,1.3086,2.8119,0.92859,0.0022501,0.0022501,0.0022501
103,1.4611,3.0981,0.97752,0.49952,0.39463,0.39614,0.22669,1.309,2.8106,0.92902,0.0022427,0.0022427,0.0022427
104,1.4615,3.0987,0.97345,0.50305,0.39436,0.39821,0.22761,1.3109,2.8045,0.92917,0.0022352,0.0022352,0.0022352
105,1.459,3.0821,0.97402,0.49895,0.39499,0.3986,0.22886,1.3033,2.7982,0.92805,0.0022278,0.0022278,0.0022278
106,1.462,3.0748,0.97598,0.50437,0.39337,0.39862,0.22865,1.3038,2.7985,0.92867,0.0022204,0.0022204,0.0022204
107,1.468,3.0988,0.9742,0.50635,0.39203,0.3997,0.22973,1.3003,2.794,0.92816,0.0022129,0.0022129,0.0022129
108,1.4674,3.0959,0.97101,0.51217,0.39334,0.40021,0.23025,1.2986,2.786,0.92716,0.0022055,0.0022055,0.0022055
109,1.4641,3.0661,0.96915,0.51,0.3956,0.40072,0.23114,1.2996,2.7883,0.92734,0.0021981,0.0021981,0.0021981
